EPOCH=001,Accuracy= 53.900%
EPOCH=002,Accuracy= 71.010%
EPOCH=003,Accuracy= 76.340%
EPOCH=004,Accuracy= 72.930%
EPOCH=005,Accuracy= 78.590%
EPOCH=006,Accuracy= 82.720%
EPOCH=007,Accuracy= 80.180%
EPOCH=008,Accuracy= 82.160%
EPOCH=009,Accuracy= 84.500%
EPOCH=010,Accuracy= 81.700%
EPOCH=011,Accuracy= 84.900%
EPOCH=012,Accuracy= 86.610%
EPOCH=013,Accuracy= 84.440%
EPOCH=014,Accuracy= 87.310%
EPOCH=015,Accuracy= 87.520%
EPOCH=016,Accuracy= 87.830%
EPOCH=017,Accuracy= 88.020%
EPOCH=018,Accuracy= 86.750%
EPOCH=019,Accuracy= 88.840%
EPOCH=020,Accuracy= 88.510%
EPOCH=021,Accuracy= 89.080%
EPOCH=022,Accuracy= 88.230%
EPOCH=023,Accuracy= 87.670%
EPOCH=024,Accuracy= 89.000%
EPOCH=025,Accuracy= 87.310%
EPOCH=026,Accuracy= 88.280%
EPOCH=027,Accuracy= 88.950%
EPOCH=028,Accuracy= 89.040%
EPOCH=029,Accuracy= 89.390%
EPOCH=030,Accuracy= 89.110%
EPOCH=031,Accuracy= 89.700%
EPOCH=032,Accuracy= 89.350%
EPOCH=033,Accuracy= 89.560%
EPOCH=034,Accuracy= 89.940%
EPOCH=035,Accuracy= 90.070%
EPOCH=036,Accuracy= 90.090%
EPOCH=037,Accuracy= 89.400%
EPOCH=038,Accuracy= 88.690%
EPOCH=039,Accuracy= 88.270%
EPOCH=040,Accuracy= 89.330%
EPOCH=041,Accuracy= 89.470%
EPOCH=042,Accuracy= 90.290%
EPOCH=043,Accuracy= 89.290%
EPOCH=044,Accuracy= 90.580%
EPOCH=045,Accuracy= 90.560%
EPOCH=046,Accuracy= 90.410%
EPOCH=047,Accuracy= 89.080%
EPOCH=048,Accuracy= 90.030%
EPOCH=049,Accuracy= 90.480%
EPOCH=050,Accuracy= 89.310%
EPOCH=051,Accuracy= 90.070%
EPOCH=052,Accuracy= 89.000%
EPOCH=053,Accuracy= 90.100%
EPOCH=054,Accuracy= 90.160%
EPOCH=055,Accuracy= 89.720%
EPOCH=056,Accuracy= 90.860%
EPOCH=057,Accuracy= 89.300%
EPOCH=058,Accuracy= 89.370%
EPOCH=059,Accuracy= 90.470%
EPOCH=060,Accuracy= 90.530%
EPOCH=061,Accuracy= 90.190%
EPOCH=062,Accuracy= 88.860%
EPOCH=063,Accuracy= 90.590%
EPOCH=064,Accuracy= 90.440%
EPOCH=065,Accuracy= 90.460%
EPOCH=066,Accuracy= 90.870%
EPOCH=067,Accuracy= 90.140%
EPOCH=068,Accuracy= 90.060%
EPOCH=069,Accuracy= 89.680%
EPOCH=070,Accuracy= 89.240%
EPOCH=071,Accuracy= 89.880%
EPOCH=072,Accuracy= 90.510%
EPOCH=073,Accuracy= 91.060%
EPOCH=074,Accuracy= 89.110%
EPOCH=075,Accuracy= 89.770%
