001  00001 |Loss: 2.316 | Acc: 10.938% 
001  00002 |Loss: 2.298 | Acc: 12.891% 
001  00003 |Loss: 2.296 | Acc: 14.583% 
001  00004 |Loss: 2.296 | Acc: 15.039% 
001  00005 |Loss: 2.290 | Acc: 16.094% 
001  00006 |Loss: 2.283 | Acc: 15.755% 
001  00007 |Loss: 2.276 | Acc: 15.625% 
001  00008 |Loss: 2.261 | Acc: 16.992% 
001  00009 |Loss: 2.258 | Acc: 17.361% 
001  00010 |Loss: 2.250 | Acc: 17.422% 
001  00011 |Loss: 2.239 | Acc: 18.040% 
001  00012 |Loss: 2.234 | Acc: 17.969% 
001  00013 |Loss: 2.216 | Acc: 18.389% 
001  00014 |Loss: 2.198 | Acc: 18.973% 
001  00015 |Loss: 2.186 | Acc: 19.531% 
001  00016 |Loss: 2.167 | Acc: 19.971% 
001  00017 |Loss: 2.155 | Acc: 20.404% 
001  00018 |Loss: 2.150 | Acc: 20.747% 
001  00019 |Loss: 2.148 | Acc: 20.559% 
001  00020 |Loss: 2.133 | Acc: 20.898% 
001  00021 |Loss: 2.123 | Acc: 21.131% 
001  00022 |Loss: 2.117 | Acc: 21.484% 
001  00023 |Loss: 2.109 | Acc: 21.739% 
001  00024 |Loss: 2.097 | Acc: 22.298% 
001  00025 |Loss: 2.086 | Acc: 22.656% 
001  00026 |Loss: 2.082 | Acc: 22.746% 
001  00027 |Loss: 2.073 | Acc: 23.148% 
001  00028 |Loss: 2.064 | Acc: 23.158% 
001  00029 |Loss: 2.061 | Acc: 23.276% 
001  00030 |Loss: 2.052 | Acc: 23.568% 
001  00031 |Loss: 2.048 | Acc: 23.589% 
001  00032 |Loss: 2.043 | Acc: 23.682% 
001  00033 |Loss: 2.038 | Acc: 23.935% 
001  00034 |Loss: 2.033 | Acc: 24.012% 
001  00035 |Loss: 2.031 | Acc: 24.107% 
001  00036 |Loss: 2.027 | Acc: 24.327% 
001  00037 |Loss: 2.021 | Acc: 24.430% 
001  00038 |Loss: 2.016 | Acc: 24.630% 
001  00039 |Loss: 2.006 | Acc: 24.960% 
001  00040 |Loss: 1.997 | Acc: 25.312% 
001  00041 |Loss: 1.991 | Acc: 25.553% 
001  00042 |Loss: 1.984 | Acc: 25.818% 
001  00043 |Loss: 1.983 | Acc: 25.945% 
001  00044 |Loss: 1.977 | Acc: 25.977% 
001  00045 |Loss: 1.972 | Acc: 26.128% 
001  00046 |Loss: 1.966 | Acc: 26.240% 
001  00047 |Loss: 1.963 | Acc: 26.446% 
001  00048 |Loss: 1.960 | Acc: 26.644% 
001  00049 |Loss: 1.957 | Acc: 26.802% 
001  00050 |Loss: 1.954 | Acc: 26.938% 
001  00051 |Loss: 1.950 | Acc: 27.022% 
001  00052 |Loss: 1.943 | Acc: 27.239% 
001  00053 |Loss: 1.938 | Acc: 27.462% 
001  00054 |Loss: 1.933 | Acc: 27.604% 
001  00055 |Loss: 1.930 | Acc: 27.784% 
001  00056 |Loss: 1.926 | Acc: 27.999% 
