EPOCH=001,Accuracy= 47.760%
EPOCH=002,Accuracy= 61.370%
EPOCH=003,Accuracy= 67.660%
EPOCH=004,Accuracy= 72.910%
EPOCH=005,Accuracy= 76.270%
EPOCH=006,Accuracy= 72.690%
EPOCH=007,Accuracy= 80.650%
EPOCH=008,Accuracy= 78.200%
EPOCH=009,Accuracy= 81.950%
EPOCH=010,Accuracy= 77.320%
EPOCH=011,Accuracy= 77.390%
EPOCH=012,Accuracy= 72.650%
EPOCH=013,Accuracy= 77.360%
EPOCH=014,Accuracy= 79.830%
EPOCH=015,Accuracy= 83.360%
EPOCH=016,Accuracy= 80.160%
EPOCH=017,Accuracy= 79.750%
EPOCH=018,Accuracy= 81.990%
EPOCH=019,Accuracy= 81.460%
EPOCH=020,Accuracy= 82.790%
EPOCH=021,Accuracy= 82.790%
EPOCH=022,Accuracy= 76.940%
EPOCH=023,Accuracy= 80.560%
EPOCH=024,Accuracy= 83.280%
EPOCH=025,Accuracy= 79.380%
EPOCH=026,Accuracy= 80.650%
EPOCH=027,Accuracy= 84.750%
EPOCH=028,Accuracy= 83.150%
EPOCH=029,Accuracy= 76.440%
EPOCH=030,Accuracy= 81.470%
EPOCH=031,Accuracy= 82.770%
EPOCH=032,Accuracy= 83.670%
EPOCH=033,Accuracy= 84.780%
EPOCH=034,Accuracy= 84.540%
EPOCH=035,Accuracy= 79.660%
EPOCH=036,Accuracy= 78.460%
EPOCH=037,Accuracy= 79.300%
EPOCH=038,Accuracy= 83.010%
EPOCH=039,Accuracy= 85.440%
EPOCH=040,Accuracy= 84.350%
EPOCH=041,Accuracy= 80.090%
EPOCH=042,Accuracy= 82.350%
EPOCH=043,Accuracy= 79.980%
EPOCH=044,Accuracy= 82.870%
EPOCH=045,Accuracy= 83.870%
EPOCH=046,Accuracy= 82.500%
EPOCH=047,Accuracy= 81.500%
EPOCH=048,Accuracy= 79.160%
EPOCH=049,Accuracy= 85.470%
EPOCH=050,Accuracy= 86.330%
EPOCH=051,Accuracy= 80.610%
EPOCH=052,Accuracy= 81.980%
EPOCH=053,Accuracy= 85.600%
EPOCH=054,Accuracy= 82.250%
EPOCH=055,Accuracy= 85.020%
EPOCH=056,Accuracy= 83.050%
EPOCH=057,Accuracy= 80.310%
EPOCH=058,Accuracy= 84.520%
EPOCH=059,Accuracy= 81.760%
EPOCH=060,Accuracy= 81.910%
EPOCH=061,Accuracy= 83.680%
EPOCH=062,Accuracy= 84.670%
EPOCH=063,Accuracy= 85.690%
EPOCH=064,Accuracy= 75.480%
EPOCH=065,Accuracy= 84.910%
EPOCH=066,Accuracy= 81.120%
EPOCH=067,Accuracy= 85.290%
EPOCH=068,Accuracy= 86.210%
EPOCH=069,Accuracy= 83.310%
EPOCH=070,Accuracy= 86.220%
EPOCH=071,Accuracy= 80.530%
EPOCH=072,Accuracy= 82.610%
EPOCH=073,Accuracy= 85.220%
EPOCH=074,Accuracy= 85.880%
EPOCH=075,Accuracy= 81.830%
