001  00001 |Loss: 2.321 | Acc: 10.938% 
001  00002 |Loss: 2.335 | Acc: 11.719% 
001  00003 |Loss: 2.327 | Acc: 11.458% 
001  00004 |Loss: 2.336 | Acc: 12.305% 
001  00005 |Loss: 2.296 | Acc: 12.812% 
001  00006 |Loss: 2.338 | Acc: 14.062% 
001  00007 |Loss: 2.354 | Acc: 14.621% 
001  00008 |Loss: 2.311 | Acc: 15.723% 
001  00009 |Loss: 2.303 | Acc: 16.146% 
001  00010 |Loss: 2.319 | Acc: 15.781% 
001  00011 |Loss: 2.287 | Acc: 16.548% 
001  00012 |Loss: 2.280 | Acc: 17.578% 
001  00013 |Loss: 2.282 | Acc: 18.209% 
001  00014 |Loss: 2.272 | Acc: 18.583% 
001  00015 |Loss: 2.272 | Acc: 18.542% 
001  00016 |Loss: 2.264 | Acc: 19.482% 
001  00017 |Loss: 2.255 | Acc: 20.267% 
001  00018 |Loss: 2.238 | Acc: 20.920% 
001  00019 |Loss: 2.241 | Acc: 20.970% 
001  00020 |Loss: 2.236 | Acc: 21.133% 
001  00021 |Loss: 2.233 | Acc: 21.466% 
001  00022 |Loss: 2.232 | Acc: 21.626% 
001  00023 |Loss: 2.226 | Acc: 21.705% 
001  00024 |Loss: 2.213 | Acc: 22.038% 
001  00025 |Loss: 2.201 | Acc: 22.281% 
001  00026 |Loss: 2.207 | Acc: 22.175% 
001  00027 |Loss: 2.204 | Acc: 22.280% 
001  00028 |Loss: 2.194 | Acc: 22.489% 
001  00029 |Loss: 2.190 | Acc: 22.522% 
001  00030 |Loss: 2.186 | Acc: 22.552% 
001  00031 |Loss: 2.176 | Acc: 22.656% 
001  00032 |Loss: 2.167 | Acc: 22.998% 
001  00033 |Loss: 2.160 | Acc: 23.201% 
001  00034 |Loss: 2.154 | Acc: 23.415% 
001  00035 |Loss: 2.155 | Acc: 23.571% 
001  00036 |Loss: 2.151 | Acc: 23.763% 
001  00037 |Loss: 2.145 | Acc: 23.902% 
001  00038 |Loss: 2.140 | Acc: 24.137% 
001  00039 |Loss: 2.140 | Acc: 24.179% 
001  00040 |Loss: 2.133 | Acc: 24.590% 
001  00041 |Loss: 2.131 | Acc: 24.638% 
001  00042 |Loss: 2.125 | Acc: 24.758% 
001  00043 |Loss: 2.122 | Acc: 24.673% 
001  00044 |Loss: 2.119 | Acc: 24.769% 
001  00045 |Loss: 2.118 | Acc: 24.774% 
001  00046 |Loss: 2.115 | Acc: 24.796% 
001  00047 |Loss: 2.113 | Acc: 24.817% 
001  00048 |Loss: 2.106 | Acc: 24.837% 
001  00049 |Loss: 2.101 | Acc: 24.968% 
001  00050 |Loss: 2.092 | Acc: 25.219% 
001  00051 |Loss: 2.090 | Acc: 25.184% 
001  00052 |Loss: 2.087 | Acc: 25.346% 
001  00053 |Loss: 2.081 | Acc: 25.501% 
001  00054 |Loss: 2.078 | Acc: 25.463% 
001  00055 |Loss: 2.075 | Acc: 25.611% 
001  00056 |Loss: 2.075 | Acc: 25.684% 
001  00057 |Loss: 2.070 | Acc: 25.836% 
001  00058 |Loss: 2.066 | Acc: 25.943% 
001  00059 |Loss: 2.061 | Acc: 26.059% 
001  00060 |Loss: 2.057 | Acc: 26.120% 
001  00061 |Loss: 2.052 | Acc: 26.217% 
001  00062 |Loss: 2.048 | Acc: 26.323% 
001  00063 |Loss: 2.044 | Acc: 26.364% 
001  00064 |Loss: 2.043 | Acc: 26.392% 
001  00065 |Loss: 2.038 | Acc: 26.502% 
001  00066 |Loss: 2.035 | Acc: 26.515% 
001  00067 |Loss: 2.033 | Acc: 26.574% 
001  00068 |Loss: 2.028 | Acc: 26.700% 
001  00069 |Loss: 2.027 | Acc: 26.766% 
001  00070 |Loss: 2.026 | Acc: 26.708% 
001  00071 |Loss: 2.022 | Acc: 26.849% 
001  00072 |Loss: 2.018 | Acc: 26.942% 
001  00073 |Loss: 2.013 | Acc: 27.076% 
001  00074 |Loss: 2.009 | Acc: 27.185% 
001  00075 |Loss: 2.004 | Acc: 27.302% 
001  00076 |Loss: 2.002 | Acc: 27.313% 
001  00077 |Loss: 1.998 | Acc: 27.445% 
001  00078 |Loss: 1.995 | Acc: 27.554% 
001  00079 |Loss: 1.993 | Acc: 27.660% 
001  00080 |Loss: 1.989 | Acc: 27.754% 
